exp,Sub,source,grouping,condition,controlled_sdi
2,753780,Reproduction,SameSwitch,Switch,0.158494048044376
2,753780,pred,current_uncertainty,HighUncertainty,0.1196812148160773
2,753780,pred,current_uncertainty,LowUncertainty,0.0724913276559864
2,753780,pred,SameSwitch,Repeat,0.0902000097326149
2,753780,pred,SameSwitch,Switch,0.0915900368873667
2,815266,Reproduction,current_uncertainty,HighUncertainty,0.0065755965169402
2,815266,Reproduction,current_uncertainty,LowUncertainty,0.1178494237676315
2,815266,Reproduction,SameSwitch,Repeat,0.0511108341468512
2,815266,Reproduction,SameSwitch,Switch,0.0677994209764422
2,815266,pred,current_uncertainty,HighUncertainty,0.0571695082357432
2,815266,pred,current_uncertainty,LowUncertainty,0.0812237068638312
2,815266,pred,SameSwitch,Repeat,0.064872716488531
2,815266,pred,SameSwitch,Switch,0.0681940130978561
2,885939,Reproduction,current_uncertainty,HighUncertainty,0.1955512682604738
2,885939,Reproduction,current_uncertainty,LowUncertainty,0.263153852270533
2,885939,Reproduction,SameSwitch,Repeat,0.2402874029589239
2,885939,Reproduction,SameSwitch,Switch,0.2037459914834178
2,885939,pred,current_uncertainty,HighUncertainty,0.1798538311791927
2,885939,pred,current_uncertainty,LowUncertainty,0.1709827751366754
2,885939,pred,SameSwitch,Repeat,0.169078699134979
2,885939,pred,SameSwitch,Switch,0.1751304551143447
2,898122,Reproduction,current_uncertainty,HighUncertainty,-0.0862354662589855
2,898122,Reproduction,current_uncertainty,LowUncertainty,-0.0635742500188676
2,898122,Reproduction,SameSwitch,Repeat,0.0002251363376671
2,898122,Reproduction,SameSwitch,Switch,-0.1286587961335874
2,898122,pred,current_uncertainty,HighUncertainty,0.0200408946979045
2,898122,pred,current_uncertainty,LowUncertainty,0.0020654322033814
2,898122,pred,SameSwitch,Repeat,0.0192760439107678
2,898122,pred,SameSwitch,Switch,0.0156654440045712
